time,gyro,accelerometer,locator,velocity
12_18_2020_15:24:37,{'Gyroscope': {'is_valid': True, 'X': 0.9329323659028432, 'Y': 0.2002720721532114, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.04083823786136698, 'Y': -0.02534198389047404, 'Z': 0.9611835519227157}},{'Gyroscope': {'is_valid': True, 'X': 0.9329323659028432, 'Y': 0.2002720721532114, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.04083823786136698, 'Y': -0.02534198389047404, 'Z': 0.9611835519227157}},{'Locator': {'is_valid': True, 'X': 3.725290298461914e-06, 'Y': 3.725290298461914e-06}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}},{'Locator': {'is_valid': True, 'X': 3.725290298461914e-06, 'Y': 3.725290298461914e-06}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}}
12_18_2020_15:24:38,{'Gyroscope': {'is_valid': True, 'X': -0.6579156035227243, 'Y': 0.10061310606579354, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.028961177922077752, 'Y': -0.033446308233180844, 'Z': 0.9608173409851304}},{'Gyroscope': {'is_valid': True, 'X': -0.6579156035227243, 'Y': 0.10061310606579354, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.028961177922077752, 'Y': -0.033446308233180844, 'Z': 0.9608173409851304}},{'Locator': {'is_valid': True, 'X': 3.725290298461914e-06, 'Y': 3.725290298461914e-06}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}},{'Locator': {'is_valid': True, 'X': 3.725290298461914e-06, 'Y': 3.725290298461914e-06}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}}
12_18_2020_15:24:39,{'Gyroscope': {'is_valid': True, 'X': 0.07438706235825521, 'Y': -0.026821624493777563, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.02893256769257846, 'Y': -0.037396427252655684, 'Z': 0.9607238809021013}},{'Gyroscope': {'is_valid': True, 'X': 0.07438706235825521, 'Y': -0.026821624493777563, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.02893256769257846, 'Y': -0.037396427252655684, 'Z': 0.9607238809021013}},{'Locator': {'is_valid': True, 'X': 3.725290298461914e-06, 'Y': 3.725290298461914e-06}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}},{'Locator': {'is_valid': True, 'X': 3.725290298461914e-06, 'Y': 3.725290298461914e-06}, 'Velocity': {'is_valid': True, 'X': 1.1641532182693481e-09, 'Y': 1.1641532182693481e-09}}
12_18_2020_15:24:40,{'Gyroscope': {'is_valid': True, 'X': 0.7522110829017947, 'Y': 0.26845978579217444, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.058876987560390504, 'Y': 0.05670547859200781, 'Z': 0.39767647171338893}},{'Gyroscope': {'is_valid': True, 'X': 0.7522110829017947, 'Y': 0.26845978579217444, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.058876987560390504, 'Y': 0.05670547859200781, 'Z': 0.39767647171338893}},{'Locator': {'is_valid': True, 'X': -0.001903623342514038, 'Y': 0.6217993797326926}, 'Velocity': {'is_valid': True, 'X': -0.005753635197354612, 'Y': 1.8826186672976757}},{'Locator': {'is_valid': True, 'X': -0.001903623342514038, 'Y': 0.6217993797326926}, 'Velocity': {'is_valid': True, 'X': -0.005753635197354612, 'Y': 1.8826186672976757}}
12_18_2020_15:24:41,{'Gyroscope': {'is_valid': True, 'X': -0.6604189986037454, 'Y': -0.4248614423966046, 'Z': 0.5693440326886048}, 'Accelerometer': {'is_valid': True, 'X': -0.3387641870274116, 'Y': -0.5031518900075813, 'Z': 0.3728351631138551}},{'Gyroscope': {'is_valid': True, 'X': -0.6604189986037454, 'Y': -0.4248614423966046, 'Z': 0.5693440326886048}, 'Accelerometer': {'is_valid': True, 'X': -0.3387641870274116, 'Y': -0.5031518900075813, 'Z': 0.3728351631138551}},{'Locator': {'is_valid': True, 'X': -0.008579343559176777, 'Y': 2.9563941068390704}, 'Velocity': {'is_valid': True, 'X': -0.006501673489459847, 'Y': 1.9745147244479782}},{'Locator': {'is_valid': True, 'X': -0.008579343559176777, 'Y': 2.9563941068390704}, 'Velocity': {'is_valid': True, 'X': -0.006501673489459847, 'Y': 1.9745147244479782}}
12_18_2020_15:24:42,{'Gyroscope': {'is_valid': True, 'X': -2.2596116182996866, 'Y': -0.7789130324449616, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': 0.14978790659219854, 'Y': -0.3145351373391545, 'Z': 0.45311928178489325}},{'Gyroscope': {'is_valid': True, 'X': -2.2596116182996866, 'Y': -0.7789130324449616, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': 0.14978790659219854, 'Y': -0.3145351373391545, 'Z': 0.45311928178489325}},{'Locator': {'is_valid': True, 'X': -0.015255063775839517, 'Y': 4.928592593625581}, 'Velocity': {'is_valid': True, 'X': -0.007117389470133517, 'Y': 2.0309269444623324}},{'Locator': {'is_valid': True, 'X': -0.015255063775839517, 'Y': 4.928592593625581}, 'Velocity': {'is_valid': True, 'X': -0.007117389470133517, 'Y': 2.0309269444623324}}
12_18_2020_15:24:43,{'Gyroscope': {'is_valid': True, 'X': 0.3247265704731035, 'Y': 0.3898148425828367, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.27520274749845264, 'Y': 0.2816162147283592, 'Z': 1.2210865060847915}},{'Gyroscope': {'is_valid': True, 'X': 0.3247265704731035, 'Y': 0.3898148425828367, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.27520274749845264, 'Y': 0.2816162147283592, 'Z': 1.2210865060847915}},{'Locator': {'is_valid': True, 'X': -0.024791806941721006, 'Y': 7.287982852965797}, 'Velocity': {'is_valid': True, 'X': -0.00645935419165955, 'Y': 1.9017422215318636}},{'Locator': {'is_valid': True, 'X': -0.024791806941721006, 'Y': 7.287982852965797}, 'Velocity': {'is_valid': True, 'X': -0.00645935419165955, 'Y': 1.9017422215318636}}
12_18_2020_15:24:44,{'Gyroscope': {'is_valid': True, 'X': 2.0668511283740827, 'Y': -0.9309048766574506, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.21379088987917427, 'Y': 0.2010650672486669, 'Z': 1.321140293339532}},{'Gyroscope': {'is_valid': True, 'X': 2.0668511283740827, 'Y': -0.9309048766574506, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': -0.21379088987917427, 'Y': 0.2010650672486669, 'Z': 1.321140293339532}},{'Locator': {'is_valid': True, 'X': -0.031467527158383746, 'Y': 9.26208868838512}, 'Velocity': {'is_valid': True, 'X': -0.006487368374711089, 'Y': 1.941002608961659}},{'Locator': {'is_valid': True, 'X': -0.031467527158383746, 'Y': 9.26208868838512}, 'Velocity': {'is_valid': True, 'X': -0.006487368374711089, 'Y': 1.941002608961659}}
12_18_2020_15:24:46,{'Gyroscope': {'is_valid': True, 'X': -2.937912476001884, 'Y': -1.2480015869364252, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': 0.21563530345811444, 'Y': 0.04894066230601979, 'Z': 1.0145206491031047}},{'Gyroscope': {'is_valid': True, 'X': -2.937912476001884, 'Y': -1.2480015869364252, 'Z': 4.6566128730773926e-07}, 'Accelerometer': {'is_valid': True, 'X': 0.21563530345811444, 'Y': 0.04894066230601979, 'Z': 1.0145206491031047}},{'Locator': {'is_valid': True, 'X': -0.036235898742233985, 'Y': 10.78606024635701}, 'Velocity': {'is_valid': True, 'X': -0.003573297290963673, 'Y': 1.1398428692808}},{'Locator': {'is_valid': True, 'X': -0.036235898742233985, 'Y': 10.78606024635701}, 'Velocity': {'is_valid': True, 'X': -0.003573297290963673, 'Y': 1.1398428692808}}
