time,gyro,accelerometer,locator,velocity
12_18_2020_15:53:22,None,None,None,None
12_18_2020_15:53:23,None,None,None,None
12_18_2020_15:53:24,None,None,None,None
12_18_2020_15:53:26,None,None,None,None
12_18_2020_15:53:27,None,None,None,None
12_18_2020_15:53:28,None,None,None,None
